latitude,longitude,String,danger
39.149,-76.523,There is 1 sex offender in this area. ,6
39.288999999999994,-76.615,There is 1 CCTV camera in this area. ,-1
39.672999999999995,-78.911,There is 1 sex offender in this area. ,6
39.302,-76.63,There is 1 sex offender in this area. ,5
39.311,-76.661,There is 1 gun offender in this area. ,1
39.284,-76.632,There is 1 sex offender in this area. There are 2 gun offenders in this area. ,8
39.26,-76.488,There is 1 sex offender in this area. ,5
39.298,-76.676,There is 1 gun offender in this area. ,1
39.217,-76.807,There is 1 sex offender in this area. ,6
39.306,-76.602,There are 2 gun offenders in this area. ,2
39.294999999999995,-76.607,There are 2 sex offenders in this area. ,9
39.348,-76.684,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,9
38.985,-76.287,There is 1 sex offender in this area. ,5
38.985,-76.787,There is 1 sex offender in this area. ,5
39.362,-76.768,There is 1 sex offender in this area. ,4
38.149,-75.413,There is 1 sex offender in this area. ,6
39.308,-76.648,There is 1 sex offender in this area. There are 2 gun offenders in this area. ,7
39.311,-76.475,There is 1 sex offender in this area. ,4
39.35,-76.554,There is 1 gun offender in this area. ,1
39.705999999999996,-79.148,There is 1 sex offender in this area. ,5
39.39,-76.538,There are 2 sex offenders in this area. ,8
38.85,-76.89,There is 1 sex offender in this area. ,5
39.324999999999996,-76.587,There is 1 gun offender in this area. ,1
39.269,-76.499,There is 1 sex offender in this area. ,4
38.623999999999995,-76.938,There are 2 sex offenders in this area. ,7
39.31099999999999,-76.661,There is 1 sex offender in this area. There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,6
39.333999999999996,-76.686,There is 1 sex offender in this area. ,5
39.64,-77.718,There is 1 sex offender in this area. ,5
38.37,-76.408,There is 1 sex offender in this area. ,5
39.321999999999996,-76.466,There is 1 sex offender in this area. ,5
39.299,-76.513,There is 1 sex offender in this area. ,4
39.221,-76.641,There is 1 gun offender in this area. ,1
39.312,-76.612,There is 1 sex offender in this area. There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,4
38.169,-75.805,There is 1 sex offender in this area. ,4
39.32,-76.618,There is 1 sex offender in this area. There are 2 gun offenders in this area. ,8
39.299,-76.653,There is 1 gun offender in this area. ,1
39.29299999999999,-76.675,There are 2 gun offenders in this area. ,2
39.297,-76.709,There is 1 sex offender in this area. There is 1 gun offender in this area. ,6
38.36,-76.932,There is 1 sex offender in this area. ,5
39.244,-76.624,There is 1 sex offender in this area. There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,5
39.172999999999995,-77.299,There is 1 sex offender in this area. ,4
39.333,-76.569,There is 1 gun offender in this area. ,1
39.274,-76.732,There is 1 sex offender in this area. ,6
39.235,-76.613,There is 1 sex offender in this area. ,4
39.294999999999995,-76.601,There are 5 CCTV cameras in this area. ,-5
39.297,-76.629,There is 1 sex offender in this area. There are 2 gun offenders in this area. ,8
38.678999999999995,-76.887,There is 1 sex offender in this area. ,6
39.286,-76.67,There is 1 gun offender in this area. ,1
39.288,-76.556,There are 2 CCTV cameras in this area. ,-2
