latitude,longitude,String,danger
39.306,-76.638,There is 1 CCTV camera in this area. ,0
39.337,-76.602,There is 1 gun offender in this area. ,1
39.307,-76.602,There are 3 gun offenders in this area. ,3
39.296,-76.45,There is 1 sex offender in this area. ,2
39.3,-76.629,There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,1
39.319,-76.695,There are 2 gun offenders in this area. ,2
39.282,-76.609,There is 1 CCTV camera in this area. ,0
39.31,-76.6,There is 1 gun offender in this area. ,1
39.348,-76.741,There is 1 sex offender in this area. ,2
39.299,-76.609,There is 1 CCTV camera in this area. ,0
38.969,-76.523,There is 1 sex offender in this area. ,2
39.286,-76.509,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
39.297,-76.594,There is 1 CCTV camera in this area. ,0
39.306,-76.581,There are 2 gun offenders in this area. ,2
39.307,-76.636,There is 1 CCTV camera in this area. ,0
39.284,-76.683,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
39.301,-76.628,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.191,-76.619,There is 1 sex offender in this area. ,2
39.551,-76.359,There is 1 sex offender in this area. ,2
39.245,-76.624,There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,1
38.931,-75.819,There is 1 sex offender in this area. ,2
39.302,-76.63,There is 1 sex offender in this area. ,2
39.311,-76.661,There is 1 gun offender in this area. ,1
39.284,-76.632,There are 2 gun offenders in this area. ,2
39.26,-76.488,There is 1 sex offender in this area. ,2
39.298,-76.676,There is 1 gun offender in this area. ,1
39.306,-76.602,There is 1 gun offender in this area. ,1
39.348,-76.684,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
39.286,-76.553,There is 1 gun offender in this area. ,1
39.369,-76.563,There are 3 gun offenders in this area. ,3
39.237,-76.612,There is 1 gun offender in this area. ,1
39.15,-76.607,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.362,-76.768,There is 1 sex offender in this area. ,2
39.316,-76.595,There is 1 gun offender in this area. ,1
39.299,-76.733,There is 1 gun offender in this area. ,1
39.295,-76.582,There is 1 gun offender in this area. ,1
39.351,-76.608,There are 2 gun offenders in this area. ,2
39.333,-76.668,There is 1 gun offender in this area. ,1
39.308,-76.648,There are 2 gun offenders in this area. ,2
39.35,-76.554,There is 1 gun offender in this area. ,1
39.288,-76.595,There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,1
39.39,-76.538,There are 2 sex offenders in this area. ,4
38.85,-76.89,There is 1 sex offender in this area. ,2
39.303,-76.563,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
38.894,-76.897,There is 1 sex offender in this area. ,2
39.303,-76.594,There are 2 CCTV cameras in this area. ,0
39.64,-77.718,There is 1 sex offender in this area. ,2
39.183,-77.212,There is 1 sex offender in this area. ,2
38.815,-76.701,There is 1 sex offender in this area. ,2
39.409,-76.618,There is 1 gun offender in this area. ,1
39.312,-76.612,There is 1 gun offender in this area. ,1
39.309,-76.596,There is 1 gun offender in this area. ,1
39.075,-76.714,There is 1 sex offender in this area. ,2
39.32,-76.618,There are 2 gun offenders in this area. ,2
39.267,-76.747,There is 1 sex offender in this area. ,2
39.259,-76.691,There is 1 sex offender in this area. ,2
37.577,-81.529,There is 1 gun offender in this area. ,1
38.87,-76.937,There is 1 sex offender in this area. ,2
37.296,-76.753,There is 1 sex offender in this area. ,2
38.323,-75.623,There is 1 sex offender in this area. ,2
49.334,-124.353,There is 1 sex offender in this area. ,2
39.365,-76.703,There is 1 CCTV camera in this area. ,0
39.244,-76.624,There is 1 sex offender in this area. There is 1 gun offender in this area. There is 1 CCTV camera in this area. ,3
39.349,-76.552,There is 1 gun offender in this area. ,1
39.274,-76.732,There is 1 sex offender in this area. ,2
39.38,-76.665,There is 1 sex offender in this area. ,2
39.007,-76.769,There is 1 sex offender in this area. ,2
29.587,-98.209,There is 1 sex offender in this area. ,2
39.297,-76.629,There is 1 gun offender in this area. ,1
38.813,-76.946,There is 1 sex offender in this area. ,2
39.286,-76.67,There is 1 gun offender in this area. ,1
39.285,-76.619,There is 1 CCTV camera in this area. ,0
39.033,-77.062,There is 1 sex offender in this area. ,2
39.615,-75.712,There is 1 sex offender in this area. ,2
38.7,-76.341,There is 1 gun offender in this area. ,1
39.326,-76.708,There is 1 gun offender in this area. ,1
39.267,-76.798,There is 1 sex offender in this area. ,2
44.411,-79.693,There are 7 sex offenders in this area. ,14
39.314,-76.59,There is 1 sex offender in this area. There are 2 gun offenders in this area. ,4
50.141,-120.283,There is 1 sex offender in this area. ,2
39.296,-76.716,There is 1 gun offender in this area. ,1
38.585,-76.544,There is 1 sex offender in this area. ,2
38.451,-75.575,There is 1 sex offender in this area. ,2
39.293,-76.675,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
41.051,-78.823,There is 1 sex offender in this area. ,2
39.325,-76.591,There are 2 gun offenders in this area. ,2
38.838,-76.964,There is 1 sex offender in this area. ,2
39.394,-76.562,There is 1 sex offender in this area. ,2
39.252,-76.452,There is 1 sex offender in this area. ,2
39.355,-76.708,There is 1 gun offender in this area. ,1
39.294,-76.572,There are 2 sex offenders in this area. ,4
38.927,-76.91,There is 1 sex offender in this area. ,2
38.288,-76.616,There is 1 sex offender in this area. ,2
40.064,-76.437,There is 1 sex offender in this area. ,2
38.839,-76.956,There is 1 sex offender in this area. ,2
39.282,-76.653,There is 1 sex offender in this area. ,2
38.859,-76.93,There is 1 sex offender in this area. ,2
38.83,-76.982,There is 1 sex offender in this area. ,2
39.537,-75.906,There is 1 sex offender in this area. ,2
39.315,-76.506,There is 1 sex offender in this area. ,2
39.336,-76.718,There is 1 sex offender in this area. ,2
39.356,-76.608,There is 1 gun offender in this area. ,1
38.94,-76.948,There is 1 sex offender in this area. ,2
39.345,-76.498,There is 1 gun offender in this area. ,1
39.308,-76.645,There are 2 CCTV cameras in this area. ,0
39.279,-76.655,There is 1 sex offender in this area. ,2
38.837,-76.935,There is 1 sex offender in this area. ,2
39.299,-76.626,There is 1 CCTV camera in this area. ,0
39.344,-76.566,There is 1 sex offender in this area. ,2
39.175,-76.591,There is 1 sex offender in this area. ,2
38.969,-76.525,There is 1 sex offender in this area. ,2
38.953,-76.978,There are 2 sex offenders in this area. ,4
39.352,-76.532,There is 1 gun offender in this area. ,1
39.294,-76.561,There is 1 gun offender in this area. ,1
39.258,-76.721,There is 1 sex offender in this area. ,2
39.675,-78.711,There are 2 sex offenders in this area. ,4
39.317,-76.578,There is 1 gun offender in this area. ,1
38.718,-76.864,There is 1 sex offender in this area. ,2
39.288,-76.61,There is 1 CCTV camera in this area. ,0
39.629,-77.398,There is 1 sex offender in this area. ,2
33.539,-82.973,There is 1 sex offender in this area. ,2
38.297,-75.152,There is 1 sex offender in this area. ,2
38.119,-76.473,There is 1 sex offender in this area. ,2
38.709,-76.936,There is 1 sex offender in this area. ,2
39.308,-76.616,There is 1 CCTV camera in this area. ,0
39.305,-76.587,There are 2 gun offenders in this area. ,2
39.645,-76.267,There is 1 sex offender in this area. ,2
39.291,-76.602,There are 2 sex offenders in this area. There is 1 gun offender in this area. ,5
39.297,-76.626,There is 1 gun offender in this area. ,1
39.371,-76.597,There is 1 gun offender in this area. ,1
39.337,-76.554,There are 2 gun offenders in this area. ,2
39.304,-76.738,There is 1 gun offender in this area. ,1
39.305,-76.664,There is 1 gun offender in this area. ,1
39.18,-77.414,There is 1 sex offender in this area. ,2
39.309,-76.602,There is 1 sex offender in this area. ,2
39.24,-76.508,There is 1 sex offender in this area. ,2
39.295,-76.709,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.301,-76.585,There is 1 sex offender in this area. ,2
39.576,-76.043,There is 1 sex offender in this area. ,2
39.08,-76.525,There is 1 sex offender in this area. ,2
39.307,-76.641,There are 2 gun offenders in this area. ,2
39.344,-76.52,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.626,-78.804,There is 1 sex offender in this area. ,2
39.345,-76.591,There is 1 sex offender in this area. ,2
39.259,-76.643,There is 1 gun offender in this area. ,1
39.304,-76.637,There is 1 CCTV camera in this area. ,0
39.261,-76.49,There is 1 sex offender in this area. ,2
39.278,-76.617,There is 1 sex offender in this area. ,2
39.302,-76.633,There are 2 gun offenders in this area. There is 1 CCTV camera in this area. ,2
39.347,-76.608,There is 1 sex offender in this area. ,2
39.354,-76.605,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.147,-76.722,There is 1 gun offender in this area. ,1
39.297,-76.458,There is 1 gun offender in this area. ,1
39.322,-76.676,There are 2 gun offenders in this area. ,2
39.345,-76.723,There is 1 gun offender in this area. ,1
38.358,-75.08,There is 1 sex offender in this area. ,2
39.1,-77.251,There is 1 sex offender in this area. ,2
42.941,-99.443,There are 2 sex offenders in this area. ,4
38.986,-76.743,There is 1 sex offender in this area. ,2
39.393,-76.562,There is 1 sex offender in this area. ,2
39.328,-76.701,There is 1 gun offender in this area. ,1
39.3,-76.683,There is 1 sex offender in this area. ,2
38.785,-76.793,There is 1 sex offender in this area. ,2
39.359,-76.681,There is 1 gun offender in this area. ,1
39.323,-76.571,There are 2 gun offenders in this area. ,2
39.3,-76.733,There is 1 gun offender in this area. ,1
39.36,-76.711,There is 1 sex offender in this area. ,2
39.32,-76.612,There is 1 gun offender in this area. ,1
39.311,-76.561,There is 1 sex offender in this area. ,2
39.309,-76.636,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.594,-77.747,There is 1 sex offender in this area. ,2
39.522,-76.921,There is 1 sex offender in this area. ,2
39.322,-76.592,There are 3 gun offenders in this area. ,3
38.989,-76.928,There is 1 sex offender in this area. ,2
39.312,-76.651,There is 1 sex offender in this area. ,2
38.713,-76.84,There is 1 sex offender in this area. ,2
39.338,-76.659,There are 2 gun offenders in this area. ,2
39.296,-76.695,There is 1 gun offender in this area. ,1
39.304,-76.631,There is 1 gun offender in this area. ,1
39.286,-76.592,There is 1 CCTV camera in this area. ,0
39.293,-76.728,There is 1 sex offender in this area. ,2
39.357,-76.563,There is 1 gun offender in this area. ,1
39.298,-76.6,There is 1 gun offender in this area. ,1
39.242,-76.513,There is 1 sex offender in this area. ,2
39.346,-76.779,There is 1 sex offender in this area. ,2
39.311,-76.555,There is 1 sex offender in this area. ,2
39.161,-77.201,There is 1 sex offender in this area. ,2
39.636,-77.722,There is 1 sex offender in this area. ,2
38.32,-75.624,There is 1 sex offender in this area. ,2
39.344,-76.684,There is 1 gun offender in this area. ,1
39.301,-76.627,There is 1 gun offender in this area. There are 2 CCTV cameras in this area. ,1
39.139,-76.552,There is 1 sex offender in this area. ,2
39.286,-76.691,There is 1 gun offender in this area. ,1
39.285,-76.594,There is 1 CCTV camera in this area. ,0
39.29,-76.529,There is 1 sex offender in this area. ,2
39.104,-77.072,There is 1 sex offender in this area. ,2
39.332,-76.533,There is 1 sex offender in this area. ,2
39.296,-76.675,There are 2 gun offenders in this area. ,2
39.136,-76.728,There is 1 sex offender in this area. ,2
39.299,-76.575,There are 3 gun offenders in this area. ,3
39.336,-76.679,There is 1 gun offender in this area. ,1
39.428,-76.624,There is 1 sex offender in this area. ,2
38.858,-76.922,There is 1 sex offender in this area. ,2
38.877,-76.84,There is 1 sex offender in this area. ,2
38.29,-76.636,There is 1 sex offender in this area. ,2
39.427,-77.401,There is 1 sex offender in this area. ,2
39.365,-76.709,There is 1 gun offender in this area. ,1
38.973,-75.797,There is 1 sex offender in this area. ,2
39.321,-76.61,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.115,-76.709,There is 1 sex offender in this area. ,2
38.337,-76.822,There is 1 sex offender in this area. ,2
41.652,-71.485,There is 1 sex offender in this area. ,2
38.328,-75.116,There is 1 sex offender in this area. ,2
38.827,-76.988,There is 1 sex offender in this area. ,2
39.618,-77.401,There is 1 sex offender in this area. ,2
